Alabama,31.1,27.2,29.6,29.6,29.6,28.8,29.5,29.3
Alaska,22.4,23.4,20,21.7,22.4,22.2,20.8,25.1
Arizona,21.9,22.7,20.9,24.2,22.6,22.2,22.4,22.9
Arkansas,31.1,27.1,28.8,26.2,30.4,28.3,27.7,29.2
California,26.6,22.8,22.4,22.9,24,23.1,23.2,23.5
Colorado,19.4,19.6,17.2,19.1,17.7,17.7,17.6,19.1
Connecticut,23.8,21.9,20.8,18.7,20.8,19.5,19.4,22
Delaware,25.6,27,26.3,21.8,23,21.4,21.9,24
Florida,27.1,27.2,27.3,23.2,26.4,24.6,25,25.4
Georgia,27.6,26.3,25,26.6,27.6,25.2,24.9,23.2
Hawaii,18.8,16,18.1,0,19.3,19.2,17.9,19.6
Idaho,20.9,19.6,18.7,19.3,21.7,20.8,19.5,21.1
Illinois,26.6,28.8,25.9,25,25.7,22.4,23,28
Indiana,26.1,27.6,26.1,25.3,27,25.3,24,27.4
Iowa,25.5,21.3,22.1,20.9,24.3,21.7,21.5,24.4
Kansas,26.4,22.4,25.7,23.2,24.3,22.4,22.8,25.4
Kentucky,33.3,26.7,30.5,29.6,31.4,30.1,29.6,30.1
Louisiana,35.8,33.5,30.7,30,33.6,31,29.8,29.8
Maine,22.9,25.3,19.8,21.2,22,20.4,19.8,22.4
Maryland,24.3,23.1,21.6,22.1,22.8,23.1,23.1,24
Massachusetts,22.7,20.7,21.5,19.9,23.2,21,20.8,21.8
Michigan,23.3,23.9,21.7,22.2,22.3,22.7,20.8,25.1
Minnesota,17.1,16.3,15,15.9,16.2,14.2,16.7,17.9
Mississippi,33.5,32.5,30.3,31.4,32.5,31.2,31.7,32.4
Missouri,27.2,26.4,23.8,24.6,25,22.7,25.4,27.2
Montana,21.5,19,19.9,18.4,21.9,18.9,19.2,22.8
Nebraska,31.2,21.9,20.6,21.4,23.5,21,21.8,24.4
Nevada,22.7,25,24.6,24.3,26.9,27.2,24.5,27.6
New Hampshire,19.6,19.9,19.8,18.5,21.5,19.4,18.9,21.1
New Jersey,26.4,25.9,26.7,25.5,29.1,26.7,25.4,26.8
New Mexico,25.9,23.2,23,21.2,23.4,22.6,21.6,23.8
New York,28.6,25,27,26.5,26.9,25.9,24.2,26.1
North Carolina,26.3,29.7,25.1,24.8,25.5,23.8,24.2,24.5
North Dakota,23,21.6,23.3,20.8,22.7,21.6,21.9,25.4
Ohio,26.1,25.1,26.1,22.7,25.3,24.4,24,25.6
Oklahoma,32.5,30.7,30.2,27.6,30.3,29.5,29.3,31
Oregon,20.6,17.7,18.7,17.1,18.5,16.2,17.2,18.8
Pennsylvania,24.1,23.9,22,23.7,25.2,22.3,22.7,25.1
Rhode Island,24.6,24.5,23,24,25.6,24.5,23.1,23.9
South Carolina,26.6,24.6,23.3,23.9,26.1,24.1,24.8,26.9
South Dakota,25,23.4,21.4,18.6,22.2,23.5,22.1,26.5
Tennessee,34.7,33.5,29.8,29.6,33,28.6,30.6,27.3
Texas,27.3,29.6,27.9,26.3,27.8,28.6,28.4,28.8
Utah,17.1,20.1,18.4,17.7,19.7,20,20.1,20.7
Vermont,20.4,18.1,18.4,18,19,17.4,17.9,19
Virginia,23.4,24.8,22.1,22.1,21.4,21.8,21.5,23.6
Washington,17.1,15.2,17.9,17.4,17.5,17.4,17.7,19.4
West Virginia,31.3,28,27.5,23.9,27.8,25,27.6,30.5
Wisconsin,20.6,20,18.7,18.4,18.5,19,19.2,21.9
Wyoming,21.3,20.5,21.2,20.2,21.9,21.8,21.5,24.3
